Episode,AI_Won,Total_Reward,Epsilon
565,1,2281.51,0.00500081
566,0,812.97,0.00500081
567,1,2265.64,0.00500081
568,0,257.565,0.00500081
569,1,2099.66,0.00500081
570,0,184.051,0.00500081
571,1,2727.24,0.00500081
572,0,427.491,0.00500081
573,1,2078.27,0.00500081
574,0,-1959.84,0.00500081
575,1,2481.41,0.00500081
576,0,-2822.1,0.00500081
577,1,2741.93,0.00500081
578,0,350.578,0.00500081
579,1,2534.05,0.00500081
580,1,717.362,0.00500081
581,1,-165.33,0.00500081
582,0,-603.887,0.00500081
583,1,2182.97,0.00500081
584,0,-3093.8,0.00500081
585,1,2008.21,0.00500081
586,0,-3790.01,0.00500081
587,1,1277.22,0.00500081
588,0,1045.35,0.00500081
589,1,2066.1,0.00500081
590,0,-3158.9,0.00500081
591,1,1129.87,0.00500081
592,0,267.517,0.00500081
593,1,1414.53,0.00500081
594,0,679.003,0.00500081
595,1,1718.16,0.00500081
596,0,838.266,0.00500081
597,1,1513.18,0.00500081
598,0,1175.42,0.00500081
599,1,1954.63,0.00500081
600,0,1240.89,0.00500081
601,1,1762.85,0.00500081
602,1,3046.89,0.00500081
603,1,2052.03,0.00500081
604,0,1814.02,0.00500081
605,1,2666.27,0.00500081
606,0,1607.37,0.00500081
607,1,2805.69,0.00500081
608,0,2157.48,0.00500081
609,1,2563.44,0.00500081
610,0,1754.63,0.00500081
611,1,3306.73,0.00500081
612,0,-827.586,0.00500081
613,0,-1482.81,0.00500081
614,0,-2078.75,0.00500081
615,1,2655.63,0.00500081
616,1,3914.69,0.00500081
617,1,2499.46,0.00500081
618,1,4245.96,0.00500081
619,1,2000.45,0.00500081
620,0,851.092,0.00500081
621,1,2931.14,0.00500081
622,1,4537.63,0.00500081
623,1,1983.48,0.00500081
624,0,1193.48,0.00500081
625,1,2750.57,0.00500081
626,0,1476.07,0.00500081
627,1,3000.63,0.00500081
628,0,1840.06,0.00500081
629,1,2807.59,0.00500081
630,0,1633.45,0.00500081
631,1,3391.51,0.00500081
632,0,1782.03,0.00500081
633,1,2900.35,0.00500081
634,0,1754.86,0.00500081
635,1,3399.26,0.00500081
636,0,1157.57,0.00500081
637,1,3059.44,0.00500081
638,0,1207.56,0.00500081
639,1,3425.09,0.00500081
640,0,-940.605,0.00500081
641,0,-1624.47,0.00500081
642,1,5138.03,0.00500081
643,1,2033.32,0.00500081
644,0,1496.63,0.00500081
645,1,3250.04,0.00500081
646,0,-801.518,0.00500081
647,0,-1478.81,0.00500081
648,0,4067.66,0.00500081
649,1,3025.06,0.00500081
650,1,4328.8,0.00500081
651,1,2472.19,0.00500081
652,0,1762.29,0.00500081
653,1,3266.85,0.00500081
654,1,4475.7,0.00500081
